question,answer,explanation,a,b,c,d,e,f,source
"In the context Constituent Assembly of 
India, consider the following pairs: 
Committee 
 
Chairman 
1.Union Powers 
Committee 
: Jawaharlal 
Nehru 
2. Steering Committee 
: Sardar Patel 
3.Provincial 
Constitution 
Committee 
: Dr. 
Rajendra 
Prasad 
Which of the pairs given above is/are 
correctly matched? 
(a) 1 only 
(b) 1 and 2 only 
(c) 2 and 3 only 
(d) 1, 2 and 3",a,"• 
The Constituent Assembly appointed a number of committees to deal with different tasks of constitution-
making. Out of these, eight were major committees and the others were minor committees. 
o 
Union Powers Committee - Jawaharlal Nehru. Hence pair 1 is correctly matched.  
o 
Union Constitution Committee - Jawaharlal Nehru 
o 
Provincial Constitution Committee - Sardar Patel. Hence pair 3 is not correctly matched.  
o 
Drafting Committee - Dr. B.R. Ambedkar 
o 
Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas - Sardar 
Patel. 
▪ 
This committee had the following five sub-committees: 
▪ 
Fundamental Rights Sub-Committee - J.B. Kripalani 
▪ 
Minorities Sub-Committee - H.C. Mukherjee 
▪ 
North-East Frontier Tribal Areas and Assam Excluded & Partially Excluded Areas Sub-
Committee -Gopinath Bardoloi 
▪ 
Excluded and Partially Excluded Areas (other than those in Assam) Sub-Committee - A.V. 
Thakkar 
▪ 
North-West Frontier Tribal Areas Sub-Committee8a 
o 
Rules of Procedure Committee - Dr. Rajendra Prasad 
o 
States Committee (Committee for Negotiating with States) - Jawaharlal Nehru. 
o 
Steering Committee - Dr. Rajendra Prasad. Hence pair 2 is not correctly matched. 
• 
Hence option (a) is the correct answer.",1 only ,1 and 2 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
respect to Cultural and Educational rights 
guaranteed by the Indian Constitution: 
1. The scope of Article 29 is not restricted 
to minorities only. 
2. All minorities shall have the right to 
establish and administer educational 
institutions of their choice. 
Which of the statements given above is/are 
correct? 
(a) 1 only  
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
CULTURAL AND EDUCATIONAL RIGHTS  
o 
Protection of Interests of Minorities  
▪ 
Article 29 provides that any section of the citizens residing in any part of India having a distinct 
language, script or culture of its own, shall have the right to conserve the same.  
▪ 
Further, no citizen shall be denied admission into any educational institution maintained by the 
State or receiving aid out of State funds on grounds only of religion, race, caste, or language.  
▪ 
The first provision protects the right of a group while the second provision guarantees the right of 
a citizen as an individual irrespective of the community to which he belongs.  
▪ 
Article 29 grants protection to both religious minorities as well as linguistic minorities.  
▪ 
However, the Supreme Court held that the scope of this article is not necessarily restricted 
to minorities only, as it is commonly assumed to be. This is because of the use of the words 
‘section of citizens in the Article that includes minorities as well as the majority. Hence, 
statement 1 is correct. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
23                                                                              www.visionias.in                                                   ©Vision IAS  
▪ 
The Supreme Court also held that the right to conserve the language includes the right to agitate 
for the protection of the language. Hence, the political speeches or promises made for the 
conservation of the language of a section of the citizens do not amount to corrupt practice under 
the Representation of the People Act, 1951.  
o 
Right of Minorities to Establish and Administer Educational Institutions 
▪ 
Article 30 grants the following rights to minorities, whether religious or linguistic: 
❖ All minorities shall have the right to establish and administer educational institutions of 
their choice. Hence, statement 2 is correct. 
❖ The compensation amount fixed by the State for the compulsory acquisition of any property 
of a minority educational institution shall not restrict or abrogate the right guaranteed to them. 
This provision was added by the 44th Amendment Act of 1978 to protect the right of 
minorities in this regard. The Act deleted the right to property as a Fundamental Right 
(Article 31). 
❖ In granting aid, the State shall not discriminate against any educational institution managed 
by a minority. 
❖ Thus, the protection under Article 30 is confined only to minorities (religious or linguistic) 
and does not extend to any section of citizens (as under Article 29). However, the term 
‘minority’ has not been defined anywhere in the Constitution. The right under Article 30 also 
includes the right of a minority to impart education to its children in its own language.",1 only  ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the loss of citizenship under the Citizenship 
Act (1955): 
1. When a person renounces his Indian 
citizenship, every minor child of that 
person also loses Indian citizenship. 
2. When an Indian citizen voluntarily 
acquires citizenship of another country, 
his Indian citizenship automatically 
terminates. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
The Citizenship Act (1955) prescribes three ways of losing citizenship whether acquired under the Act 
or prior to it under the Constitution, viz, renunciation, termination, and deprivation: 
o 
By Renunciation: Any citizen of India of full age and capacity can make a declaration renouncing his 
Indian citizenship. Upon the registration of that declaration, that person ceases to be a citizen of India. 
However, if such a declaration is made during a war in which India is engaged, its registration shall be 
withheld by the Central Government. Further, when a person renounces his Indian citizenship, every 
minor child of that person also loses Indian citizenship. Hence, statement 1 is correct. 
o 
However, when such a child attains the age of eighteen, he may resume Indian citizenship.  
o 
By Termination: When an Indian citizen voluntarily (consciously, knowingly and without duress, 
undue influence, or compulsion) acquires citizenship of another country, his Indian citizenship 
automatically terminates. Hence, statement 2 is correct. This provision, however, does not apply 
during a war in which India is Engaged.  
o 
By Deprivation: It is a compulsory termination of Indian citizenship by the Central government, if: 
▪ 
the citizen has obtained citizenship by fraud: 
▪ 
the citizen has shown disloyalty to the Constitution of India: 
▪ 
the citizen has unlawfully traded or communicated with the enemy during a war; 
▪ 
the citizen has, within five years after registration or naturalization, been imprisoned in any 
country for two years; and 
▪ 
the citizen has been ordinarily resident out of India for seven years continuously.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
respect 
to 
the 
State 
Human 
Rights 
Commission: 
1. It can inquire into violation of human 
rights only in respect of subjects 
mentioned in the State List and the 
Concurrent List. 
2. If any case is already being inquired into 
by 
the 
National 
Human 
Rights 
Commission, then the State Human 
Rights Commission does not inquire into 
that case. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
13                                                             www.visionias.in                                                                                      ©Vision IAS",c,"• 
The Protection of Human Rights Act of 1993 provides for the creation of not only the National Human 
Rights Commission but also a State Human Rights Commission at the state level. Accordingly, twenty-six 
states have constituted the State Human Rights Commissions through Official Gazette Notifications. 
• 
A State Human Rights Commission can inquire into violation of human rights only in respect of 
subjects mentioned in the State List (List-II) and the Concurrent List (List-III) of the Seventh Schedule 
of the Constitution. Hence, statement 1 is correct. 
• 
However, if any such case is already being inquired into by the National Human Rights Commission or 
any other Statutory Commission, then the State Human Rights, Commission does not inquire into that 
case. Hence, statement 2 is correct. 
• 
The central government may confer upon the State Human Rights Commissions the functions relating to 
human rights being discharged by the union territories, except the union territory of Delhi. The 
functions relating to human rights in the case of the union territory of Delhi are to be dealt with by the 
National Human Rights Commission. 
 
 
 
 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
24                                                                              www.visionias.in                                                   ©Vision IAS",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following statements is/are 
correct regarding the Vice Chairperson of 
NITI Aayog? 
1. He is appointed by the Prime Minister. 
2. He enjoys the rank of a Minister of 
State. 
3. He chairs the meetings of Regional 
Councils. 
Select the correct answer using the code 
given below. 
(a) 2 only 
(b) 2 and 3 only 
(c) 1 only 
(d) 1, 2 and 3",c,"• 
The composition of the NITI Aayog is as follows: 
o 
Chairperson: The Prime Minister of India 
o 
Governing Council: It comprises the Chief Ministers of all the States, Chief Ministers of Union 
Territories with Legislatures (i.e., Delhi, Puducherry, and Jammu and Kashmir), and Lt.Governors of 
other Union Territories. 
o 
Regional Councils: These are formed to address specific issues and contingencies impacting more 
than one state or region. These are formed for a specified tenure. These are convened by the Prime 
Minister and comprised of the Chief Ministers of States and Lt. Governors of Union Territories in the 
region. These are chaired by the Chairperson of the NITI Aayog or his nominee. Hence, 
statement 3 is not correct. 
o 
Special Invitees: Experts, specialists, and practitioners with relevant domain knowledge as special 
invitees nominated by the Prime Minister. 
• 
Full-time Organisational Framework: It comprises, in addition to the Prime Minister as the Chairperson: 
o 
Vice-Chairperson: He is appointed by the Prime 
Minister. Hence, statement 1 
is 
correct.                                                                           He enjoys the rank of a Cabinet 
Minister. Hence, statement 2 is not correct. 
o 
Members: Full-time. They enjoy the rank of a Minister of State. 
o 
Part-time Members: Maximum of 2, from leading university research organizations and other relevant 
institutions in an ex-officio capacity. Part-time members would be on a rotation. 
o 
Ex-Officio Members: Maximum of 4 members of the Uni Council of Ministers to be nominated by 
the Prime Minister. 
o 
Chief Executive Officer: He is appointed by the Prime Minister for a fixed tenure, in the rank of 
Secretary to the Government of India. 
o 
Secretariat: As deemed necessary.",2 only ,2 and 3 only ,1 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following statements are 
correct with respect to Presidential system of 
government? 
1. The President is the real head of the 
government. 
2. The President is responsible to the 
legislature. 
3. The United States America follows the 
system 
of 
presidential 
form 
of 
government. 
Select the correct answer using code given 
below. 
(a) 1 and 2 only 
(b) 2 and 3 only 
(c) 1 and 3 only 
(d) 1, 2 and 3",c,"• 
The presidential system elects a head of government independently of the legislature, while in contrast, 
the head of government in a parliamentary system answers directly to the legislature. 
• 
Features: 
o 
Real head of the state: in this system the head of the state is the real executive head. Hence 
statement 1 is correct. 
o 
Separation of powers: the presidential form of government is based on the principle of separation of 
power among the three organs of the government. The executive is not responsible to 
legislature. The executive cannot dissolve the legislature. And the judiciary is independent from 
executive and legislature. 
o 
Principle of checks and balances: All the three organs of the government are separated from each 
other but all are checking each other and restraining each other from any type of transgression of their 
power and functions. 
o 
Political homogeneity not necessary: it is not necessary that all cabinet should belong to same 
political party.In a presidential system, the president is the head of state and head of government. 
• 
In this system the office of president is very powerful, both in theory and practice. Countries with such a 
system include the United States, Brazil and most Latin American countries. Hence statement 3 is 
correct. 
• 
In this system, president is usually elected directly by the people. It is based on the separation of powers 
and president is elected independently of the legislature. Thus he is not accountable to the legislature. 
Hence statement 2 is not correct.",1 and 2 only ,2 and 3 only ,1 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the production of millets 
in India, consider the following statements: 
1. They have low per-hectare yields at the 
national level compared to wheat and 
paddy. 
2. Their production has decreased in India 
during the last two decades. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
Recent Context: The United Nations has declared 2023 as the International Year of Millets. 
• 
Millet is a collective term referring to a number of small-seeded annual grasses that are cultivated as 
grain crops, primarily on marginal lands in dry areas in temperate, subtropical, and tropical regions. Some 
of the common millets available in India are Ragi (Finger millet), Jowar (Sorghum), Sama (Little millet), 
Bajra (Pearl millet), and Variga (Proso millet). 
• 
India is the largest producer of millet in the world accounting for 20% of global production and 80% 
of Asia’s production. 
• 
In India, the national average per-hectare yield is roughly 1 tonne for jowar, 1.5 tonnes for bajra and 1.7 
tonnes for ragi, as against 3.5 tonnes for wheat and 4 tonnes for paddy. Hence, statement 1 is correct. 
• 
Between 2003-04 and 2021-22, India’s millet output has actually fallen from 21.32 million tonnes (mt) 
to 15.92 mt. Hence, statement 2 is correct. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
25                                                                              www.visionias.in                                                   ©Vision IAS",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With 
reference 
to 
Bureau 
of 
Indian 
Standards (BIS), consider the following 
statements: 
1. It is a statutory body established under 
the Bureau of Indian Standards Act,",c,"• 
Recently BIS celeberated its 75th foundation day. On this occassion, various Initiatives were 
launched: 
o 
Standards National Action Plan (SNAP) 2022- 27: SNAP to meet the emerging technologies and 
concerns of sustainability and climate change. It will play an important role in steering the national 
standardization efforts. 
o 
Revised National Electrical Code of India 2023 or NEC 2023: Prepared by BIS, it provides 
guidelines for regulating Electrical Installations practices across country. India’s first NEC was 
formulated in 1985 (subsequently revised in 2011). Current revision includes latest International best 
practices and addition of special locations like Hospitals, Community facilities, Hotels, etc. 
o 
Revision Exercise of National Building Code of India (NBC 2016): BIS initiated exercise of 
Revision of NBC to include Sustainable city planning norms; New and sustainable building materials, 
etc. 
o 
Standards Clubs in Schools: Through Standards Clubs, BIS aims to expose science students of class 
9th and above to the concepts of Quality and Standardization through student centric activities. 
o 
Training courses for national capacity building for judicious implementation of NBC 2016 and NEC 
2023 
• 
BIS was established under the BIS Act 1986, assuming the functions of the erstwhile Indian 
Standards Institution (ISI) which was established in 1947. Presently BIS operates under the 
framework of the BIS Act of 2016. Hence, statement 1 is correct. 
o 
It is the national Standards Body of India working under the aegis of Ministry of Consumer Affairs, 
Food & Public Distribution, Government of India.  Hence, statement 2 is correct. 
o 
BIS through its core activities of standardization and conformity assessment, has been benefiting the 
economy by providing safe and reliable and quality goods; minimizing health hazards to consumers; 
protecting the environment, promoting exports and imports substitute; controlling proliferation of 
varieties etc",,,,,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the National Investigation 
Agency (NIA) Amendment Act, 2019, 
consider the following statements: 
1. The provisions of the Act extend to 
scheduled offenses, committed in India 
or abroad, that affect the interest of 
India. 
2. It designates state high courts as special 
courts for conducting the trial of 
offenses under the NIA Act. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
The various features or provisions of the National Investigation Agency (NIA) Amendment Act, 2019 are 
as follows : 
o 
It applied the provisions of the NIA Act also to persons who commit a scheduled offence beyond 
India against Indian citizens or affect the interest of India. Hence, statement 1 is correct. 
o 
It provided that the officers of the NIA shall have similar powers, duties, privies and liabilities being 
exercised by the police officers in connection with the investigation of offences, not only in India but 
also outside India. 
o 
It empowered the central government, with respect to a scheduled offence committed outside India, to 
direct the NIA to register the case and take up an investigation as if such an offence has taken place in 
India. 
o 
It provided that the central government and the state governments may designate Sessions 
Courts as Special Courts for conducting the trial of offences under the NIA Act. Hence, 
statement 2 is not correct. 
o 
It inserted certain new offences in the Schedule of the NIA Act. 
• 
 The Act extends to the whole of India and it applies also 
o 
to citizens of India outside India; 
o 
to persons in the service of the Government wherever they may be; 
o 
to persons on ships and aircraft registered in India wherever they may be; and 
o 
to persons who commit a Scheduled Offence beyond India against an Indian citizen or affect the 
interest of India.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following are the federal 
features of the Indian Constitution? 
1. Dual Polity 
2. Integrated Judiciary 
3. Bicameralism 
4. Written Constitution 
Select the correct answer using the code 
given below. 
(a) 1, 2 and 3 only 
(b) 2 and 4 only 
(c) 1, 3 and 4 only 
(d) 1 and 3 only 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
14                                                             www.visionias.in                                                                                      ©Vision IAS",c,"• 
Federalism is a system of government in which the power is divided between a central authority and 
various constituent units of the country. Usually, a federation has two levels of government. One is the 
government for the entire country that is usually responsible for a few subjects of common national 
interest. 
o 
The others are governments at the level of provinces or states that look after much of the day-to-day 
administering of their state. Both these levels of governments enjoy their power independent of the 
other. 
• 
Federal features of Indian constitution 
o 
Dual Polity 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
26                                                                              www.visionias.in                                                   ©Vision IAS  
▪ 
Constitution establishes a dual polity consisting the Union at the Centre and the states at the 
periphery. Each is endowed with sovereign powers to be exercised in the field assigned to them 
respectively by the Constitution. The Union government deals with the matters of national 
importance like defence, foreign affairs, currency, communication and so on. The state 
governments, on the other hand, look after the matters of regional and local importance like 
public order, agriculture, health, local government and so on. 
o 
Written Constitution 
▪ 
It specifies the structure, organisation, powers and functions of both the Central and state 
governments and prescribes the limits within which they must operate. Thus, it avoids 
misunderstandings and disagreements between the two. 
o 
Division of Powers 
▪ 
The Constitution divided the powers between the Centre and the states in terms of the Union List, 
State List and Concurrent List in the Seventh Schedule. 
o 
Supremacy of the Constitution 
▪ 
The Constitution is the supreme (or the highest) law of the land. The laws enacted by the Centre 
and the states must conform to its provisions. 
o 
Rigid Constitution 
▪ 
The division of powers established by the Constitution as well as the supremacy of the 
Constitution can be maintained only if the method of its amendment is rigid. Hence, the 
Constitution is rigid to the extent that those provisions which are concerned with the federal 
structure. 
o 
Independent Judiciary 
▪ 
The Constitution establishes an independent judiciary headed by the Supreme Court for two 
purposes: one, to protect the supremacy of the Constitution by exercising the power of judicial 
review; and two, to settle the disputes between the Centre and the states or between the states. 
o 
Bicameralism 
▪ 
The Constitution provides for a bicameral legislature consisting of an Upper House (Rajya Sabha) 
and a Lower House (Lok Sabha). The Rajya Sabha represents the states of Indian Federation, 
while the Lok Sabha represents the people of India as a whole. 
• 
Integrated Judiciary is a unitary feature of the Indian constitution. 
o 
The Indian Constitution has established an integrated judicial system with the Supreme Court at the 
top and the state high courts below it. This single system of courts enforces both the Central laws as 
well as the state laws. In US, on the other hand, there is a double system of courts whereby the federal 
laws are enforced by the federal judiciary and the state laws by the state judiciary. 
• 
Hence option (c) is the correct answer.","1, 2 and 3 only ",2 and 4 only ,"1, 3 and 4 only ",1 and 3 only ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In the context of methods of election in 
India, consider the following statements 
regarding the First Past The Post System: 
1. The Indian constitution has prescribed 
the First Past The Post System method 
of election to the Lok Sabha and the 
Rajya Sabha. 
2. In this system the candidate needs to get 
more than 50 percent to get elected. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",d,"• 
First Past The Post System (FPTP) is a plurality voting method, a plurality meaning the largest part of the 
whole, in contrast to majority, which generally means more than half of the whole. Under FPTP the 
candidate with the highest number (but not necessarily a majority) of votes is elected. 
• 
Though the Constitution has adopted the system of proportional representation in the case of Rajya 
Sabha, it has not preferred the same system in the case of Lok Sabha. Instead, it has adopted the 
First-past-the-post system (territorial representation) for the election of members to the Lok Sabha. 
Hence statement 1 is not correct. 
• 
Under this system, every member of the legislature represents a geographical area known as a 
constituency. From each constituency, only one representative is elected. Hence such a constituency is 
known as a single-member constituency. In this system, a candidate who secures majority of votes is 
declared elected. There is no need to get 50 percent of the total votes to get elected. Hence statement 
2 is not correct. 
o 
This simple majority system of representation does not represent the whole electorate. In other words, 
it does not secure due representation to minorities (small groups). 
• 
The system of proportional representation aims at removing the defects of territorial representation. Under 
this system, all sections of the people get representation in proportion to their number. Even the smallest 
section of the population gets its due share of representation in the legislature. 
o 
There are two kinds of proportional representation, namely, single transferable vote system and list 
system. In India, the first kind is adopted for the election of members to the Rajya Sabha and state 
legislative council and for electing the President and the Vice-President. 
 
 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
27                                                                              www.visionias.in                                                   ©Vision IAS",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following laws are enacted for 
implementing the Directive Principles? 
1. Payment of Bonus Act (1965) 
2. Contract 
Labour 
Regulation 
and 
Abolition Act (1970) 
3. Bonded Labour System Abolition Act 
(1976) 
4. Equal Remuneration Act (1976) 
Select the correct answer using the code 
given below.  
(a) 1 and 2 only  
(b) 2 and 3 only  
(c) 1, 3 and 4 only  
(d) 1, 2, 3 and 4",d,"• 
Since 1950, the successive governments at the Centre and in the states have made several laws for 
implementing the Directive Principles such as: 
• 
the Payment of Bonus Act (1965), 
• 
the Contract Labour Regulation and Abolition Act (1970), 
• 
the Child Labour Prohibition and Regulation Act (1986), 
• 
the Bonded Labour System Abolition Act (1976), to protect the interests of the labour sections.    
• 
In 2006, the government banned child labour. In 2016, the Child Labour Prohibition and Regulation Act 
(1986) was renamed the Child and Adolescent Labour Prohibition and Regulation Act, 1986. 
• 
The Maternity Benefit Act (1961) and the Equal Remuneration Act (1976) have been made to protect 
the interests of women workers. 
• 
Hence option (d) is the correct answer.",1 and 2 only  ,2 and 3 only  ,"1, 3 and 4 only  ","1, 2, 3 and 4 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following are ex-officio 
members of The National Human Rights 
Commission? 
1. Chairperson, National Commission for 
Backward Classes 
2. Special officer for linguistic minorities. 
3. Chairperson, National Commission for 
Protection of Child Rights. 
4. Chairperson, National Commission for 
Women. 
5. Chief Commissioner for Persons with 
Disabilities. 
Select the correct answer using the code 
given below. 
(a) 1 and 2 only 
(b) 2, 3, 4 and 5 only 
(c) 1, 3 and 5 only 
(d) 1, 3, 4 and 5 only",d,"• 
The NHRC is a multi-member body consisting of a chairperson and five members. The chairperson 
should be a retired chief justice of India or a judge of the Supreme Court and members should be a serving 
or retired judge of the Supreme Court, a serving or retired chief justice of a high court, and three persons 
(out of which at least one should be a woman) having knowledge or practical experience with respect to 
human rights. 
• 
In addition to these full-time members, the commission also has seven ex-officio members–the 
chairpersons of 
o 
the National Commission for Minorities, 
o 
the National Commission for SCs, 
o 
the National Commission for STs, 
o 
the National Commission for Women, 
o 
the National Commission for BCs and 
o 
the National Commission for Protection of Child Rights and 
o 
the Chief Commissioner for Persons with Disabilities. 
• 
Hence, options 1, 3, 4 and 5 are correct.",1 and 2 only ,"2, 3, 4 and 5 only ","1, 3 and 5 only ","1, 3, 4 and 5 only ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In the context of the defense sector, consider 
the following statements regarding the Very 
Short-Range 
Air 
Defense 
System 
(VSHORADS) missile: 
1. It is a portable surface-to-air missile. 
2. It is being procured from Israel under the 
defense agreement. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
Recent Context: Defence Acquisition Council (DAC) accorded Acceptance of Necessity (AoN) to 
procure VSHORAD (IR Homing) missile system. 
• 
Very Short-Range Air Defense System (VSHORADS) is a Man Portable Air Defence System 
(MANPAD) designed and developed indigenously by DRDO’s Research Centre Imarat (RCI), 
Hyderabad in collaboration with other DRDO laboratories and Indian Industry Partners. Hence 
statement 2 is not correct. 
o 
It is meant to target low-altitude aerial threats at short ranges. 
o 
These are lightweight and portable surface-to-air missiles. Hence statement 1 is correct. 
o 
These can be fired by individuals or small groups to destroy aircraft or helicopters. 
o 
Propelled by a dual-thrust solid motor, it incorporates many novel technologies including a 
miniaturized Reaction Control System (RCS) and integrated avionics.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
respect to the National Commission for 
Backward Classes (NCBC): 
1. The National Commission for Backward 
Classes (NCBC) is a constitutional body. 
2. The Commission presents an annual 
report to both Houses of Parliament. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
102nd Amendment Act of 2018 conferred a constitutional status on the National Commission for 
Backward Classes. For this purpose, the amendment inserted a new Article 338-B in the constitution. 
Hence, the Commission ceased to be a statutory body and became a constitutional body. In other words, 
the constitutional status of the new Commission is at par with the National Commission for 
Scheduled Castes (NCSC) and the National Commission for Scheduled Tribes (NCST). Hence, 
statement 1 is correct. 
• 
The Commission presents an annual report to the President. It can also submit a report as and when it 
thinks necessary. The President places all such reports before the Parliament, along with a memorandum 
explaining the action taken on the recommendations made by the Commission. The memorandum should 
also contain the reasons for the non-acceptance of any of such recommendations. Hence, statement 2 is 
not correct. 
 
 
 
 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
28                                                                              www.visionias.in                                                   ©Vision IAS",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
regard to the extraordinary powers of the 
President when the President’s Rule is 
imposed in a state: 
1. He can take up the functions of the state 
government and powers vested in the 
governor 
or 
any 
other 
executive 
authority in the state. 
2. He can declare that the powers of the 
state legislature are to be exercised by 
the Parliament. 
3. He can assume to himself the powers 
vested in the concerned state high court 
or suspend the provisions of the 
Constitution relating to it. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 1 and 2 only 
(c) 2 and 3 only 
(d) 1, 2 and 3 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
15                                                             www.visionias.in                                                                                      ©Vision IAS",b,"• 
An Emergency due to the failure of the constitutional machinery in the states (Article 356). This is 
popularly known as ‘President’s Rule’. It is also known by two other names–‘State Emergency’ or 
‘constitutional Emergency’. However, the Constitution does not use the word ‘emergency’ for this 
situation. 
• 
The President acquires the following extraordinary powers when the President’s Rule is imposed in a 
state: 
o 
He can take up the functions of the state government and powers vested in the governor or any 
other executive authority in the state. Hence statement 1 is correct. 
o 
He can declare that the powers of the state legislature are to be exercised by the Parliament. 
Hence statement 2 is correct. 
o 
He can take all other necessary steps including the suspension of the constitutional provisions relating 
to anybody or authority in the state. 
• 
It should be noted here that the President cannot assume to himself the powers vested in the 
concerned state high court or suspend the provisions of the Constitution relating to it. In other words, 
the constitutional position, status, powers, and functions of the concerned state high court remain the same 
even during the President’s Rule. Hence, statement 3 is not correct.",1 only ,1 and 2 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the sovereign green bonds, 
consider the following statements: 
1. The bonds will be issued in maturities of 
five years and 10 years. 
2. They are eligible for trading in the 
secondary market. 
3. As of now, NRIs are not allowed to 
invest in them. 
Which of the statements given above are 
correct? 
(a) 1, 2 and 3 
(b) 1 and 2 only 
(c) 2 and 3 only 
(d) 1 and 3 only",b,"• 
The Sovereign Green Bonds (SGrBs) are bonds issued by any sovereign entity, inter-governmental 
groups or alliances and corporates with the aim that proceeds of bonds are utilised for environmentally 
sustainable projects. It will help in reducing the carbon intensity of the economy.  
• 
SGrBs were announced in Union Budget 2022-23 and framework for SGrBs was issued (by Ministry of 
Finance) in November 2022. 
• 
RBI will issue 5-year and 10-year green bonds of Rs 4,000 crore each in current financial year. 
Hence, statement 1 is correct. 
• 
The only difference between Green Bonds and other ordinary government-issued bonds is that the funds 
raised from investors are only used to support initiatives that have a good influence on the environment, 
such as green construction and renewable energy. Primarily these aim to contribute to the planet and its 
sustainability. 
• 
The government has tried to make them attractive for institutional investors by giving sops like issuing 
them through a uniform price auction, making them eligible for Repo as also SLR purposes, and 
making them eligible for trading in the secondary market. Hence, statement 2 is correct. 
• 
Even NRIs are allowed to invest in them. The risk is further reduced in these bonds as per the 
framework announced earlier where the payments of principal and interest on these bonds are not 
conditional on the performance of the eligible projects and the investors in these bonds do not bear any 
project-related risks. Hence, statement 3 is not correct. 
• 
Eligible projects under SGrBs framework include projects of renewable energy, energy efficiency, 
clean transportation, climate change adaptation, sustainable water and waste management, pollution 
prevention and control, green buildings, and biodiversity conservation.","1, 2 and 3 ",1 and 2 only ,2 and 3 only ,1 and 3 only ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
